{'n_tree': 19, 'n_feature': 7, 'n_max_depth': 3, 'n_bootstrap': 2846}
{'n_tree': 20, 'n_feature': 4, 'n_max_depth': 18, 'n_bootstrap': 1884}
{'n_tree': 7, 'n_feature': 5, 'n_max_depth': 7, 'n_bootstrap': 1339}
{'n_tree': 17, 'n_feature': 6, 'n_max_depth': 16, 'n_bootstrap': 1912}
{'n_tree': 16, 'n_feature': 5, 'n_max_depth': 5, 'n_bootstrap': 1784}
{'n_tree': 4, 'n_feature': 7, 'n_max_depth': 5, 'n_bootstrap': 2695}
{'n_tree': 28, 'n_feature': 6, 'n_max_depth': 5, 'n_bootstrap': 1021}
{'n_tree': 10, 'n_feature': 6, 'n_max_depth': 8, 'n_bootstrap': 2436}
{'n_tree': 28, 'n_feature': 7, 'n_max_depth': 15, 'n_bootstrap': 1223}
{'n_tree': 8, 'n_feature': 4, 'n_max_depth': 3, 'n_bootstrap': 2360}
{'n_tree': 16, 'n_feature': 6, 'n_max_depth': 5, 'n_bootstrap': 2550}
{'n_tree': 8, 'n_feature': 7, 'n_max_depth': 9, 'n_bootstrap': 1479}
{'n_tree': 26, 'n_feature': 4, 'n_max_depth': 13, 'n_bootstrap': 2225}
{'n_tree': 10, 'n_feature': 6, 'n_max_depth': 15, 'n_bootstrap': 1357}
{'n_tree': 6, 'n_feature': 4, 'n_max_depth': 19, 'n_bootstrap': 2131}
{'n_tree': 8, 'n_feature': 6, 'n_max_depth': 12, 'n_bootstrap': 2040}
{'n_tree': 23, 'n_feature': 7, 'n_max_depth': 3, 'n_bootstrap': 2537}
{'n_tree': 6, 'n_feature': 4, 'n_max_depth': 11, 'n_bootstrap': 1737}
{'n_tree': 10, 'n_feature': 4, 'n_max_depth': 14, 'n_bootstrap': 2154}
{'n_tree': 23, 'n_feature': 7, 'n_max_depth': 13, 'n_bootstrap': 1174}
{'n_tree': 6, 'n_feature': 4, 'n_max_depth': 13, 'n_bootstrap': 1867}
{'n_tree': 28, 'n_feature': 6, 'n_max_depth': 10, 'n_bootstrap': 2770}
{'n_tree': 7, 'n_feature': 6, 'n_max_depth': 16, 'n_bootstrap': 2498}
{'n_tree': 17, 'n_feature': 4, 'n_max_depth': 5, 'n_bootstrap': 2555}
{'n_tree': 11, 'n_feature': 6, 'n_max_depth': 5, 'n_bootstrap': 2396}
{'n_tree': 11, 'n_feature': 4, 'n_max_depth': 8, 'n_bootstrap': 1646}
{'n_tree': 13, 'n_feature': 5, 'n_max_depth': 17, 'n_bootstrap': 2703}
{'n_tree': 20, 'n_feature': 7, 'n_max_depth': 13, 'n_bootstrap': 2137}
{'n_tree': 5, 'n_feature': 5, 'n_max_depth': 9, 'n_bootstrap': 1662}
{'n_tree': 13, 'n_feature': 5, 'n_max_depth': 13, 'n_bootstrap': 2248}
{'n_tree': 17, 'n_feature': 4, 'n_max_depth': 5, 'n_bootstrap': 1194}
{'n_tree': 15, 'n_feature': 6, 'n_max_depth': 9, 'n_bootstrap': 2397}
{'n_tree': 5, 'n_feature': 4, 'n_max_depth': 15, 'n_bootstrap': 1441}
{'n_tree': 26, 'n_feature': 7, 'n_max_depth': 16, 'n_bootstrap': 2141}
{'n_tree': 7, 'n_feature': 5, 'n_max_depth': 5, 'n_bootstrap': 1511}
{'n_tree': 7, 'n_feature': 5, 'n_max_depth': 14, 'n_bootstrap': 2108}
{'n_tree': 5, 'n_feature': 7, 'n_max_depth': 13, 'n_bootstrap': 2583}
{'n_tree': 24, 'n_feature': 7, 'n_max_depth': 7, 'n_bootstrap': 1709}
{'n_tree': 20, 'n_feature': 4, 'n_max_depth': 17, 'n_bootstrap': 2077}
{'n_tree': 15, 'n_feature': 4, 'n_max_depth': 4, 'n_bootstrap': 1986}
{'n_tree': 11, 'n_feature': 6, 'n_max_depth': 7, 'n_bootstrap': 2259}
{'n_tree': 28, 'n_feature': 6, 'n_max_depth': 14, 'n_bootstrap': 1453}
{'n_tree': 5, 'n_feature': 4, 'n_max_depth': 16, 'n_bootstrap': 1208}
{'n_tree': 12, 'n_feature': 7, 'n_max_depth': 5, 'n_bootstrap': 2807}
{'n_tree': 25, 'n_feature': 5, 'n_max_depth': 18, 'n_bootstrap': 1578}
{'n_tree': 6, 'n_feature': 7, 'n_max_depth': 16, 'n_bootstrap': 2367}
{'n_tree': 19, 'n_feature': 5, 'n_max_depth': 11, 'n_bootstrap': 1251}
{'n_tree': 24, 'n_feature': 7, 'n_max_depth': 11, 'n_bootstrap': 2599}
{'n_tree': 17, 'n_feature': 5, 'n_max_depth': 13, 'n_bootstrap': 1257}
{'n_tree': 24, 'n_feature': 4, 'n_max_depth': 16, 'n_bootstrap': 1045}
{'n_tree': 19, 'n_feature': 4, 'n_max_depth': 7, 'n_bootstrap': 2739}
{'n_tree': 15, 'n_feature': 6, 'n_max_depth': 12, 'n_bootstrap': 1696}
{'n_tree': 26, 'n_feature': 7, 'n_max_depth': 9, 'n_bootstrap': 2898}
{'n_tree': 28, 'n_feature': 5, 'n_max_depth': 7, 'n_bootstrap': 1558}
{'n_tree': 10, 'n_feature': 6, 'n_max_depth': 14, 'n_bootstrap': 1753}
{'n_tree': 3, 'n_feature': 6, 'n_max_depth': 12, 'n_bootstrap': 2725}
{'n_tree': 11, 'n_feature': 5, 'n_max_depth': 11, 'n_bootstrap': 1371}
{'n_tree': 5, 'n_feature': 6, 'n_max_depth': 9, 'n_bootstrap': 1466}
{'n_tree': 25, 'n_feature': 7, 'n_max_depth': 4, 'n_bootstrap': 2458}
{'n_tree': 22, 'n_feature': 6, 'n_max_depth': 5, 'n_bootstrap': 1205}
{'n_tree': 5, 'n_feature': 5, 'n_max_depth': 3, 'n_bootstrap': 2868}
{'n_tree': 11, 'n_feature': 4, 'n_max_depth': 17, 'n_bootstrap': 2534}
{'n_tree': 29, 'n_feature': 4, 'n_max_depth': 8, 'n_bootstrap': 2105}
{'n_tree': 9, 'n_feature': 5, 'n_max_depth': 17, 'n_bootstrap': 2253}
{'n_tree': 11, 'n_feature': 4, 'n_max_depth': 9, 'n_bootstrap': 1038}
{'n_tree': 22, 'n_feature': 7, 'n_max_depth': 8, 'n_bootstrap': 1942}
{'n_tree': 19, 'n_feature': 4, 'n_max_depth': 16, 'n_bootstrap': 2655}
{'n_tree': 7, 'n_feature': 4, 'n_max_depth': 13, 'n_bootstrap': 1992}
{'n_tree': 24, 'n_feature': 5, 'n_max_depth': 5, 'n_bootstrap': 1199}
{'n_tree': 20, 'n_feature': 4, 'n_max_depth': 19, 'n_bootstrap': 2599}
{'n_tree': 8, 'n_feature': 7, 'n_max_depth': 18, 'n_bootstrap': 1748}
{'n_tree': 26, 'n_feature': 5, 'n_max_depth': 13, 'n_bootstrap': 1087}
{'n_tree': 14, 'n_feature': 6, 'n_max_depth': 6, 'n_bootstrap': 1125}
{'n_tree': 21, 'n_feature': 4, 'n_max_depth': 17, 'n_bootstrap': 2613}
{'n_tree': 21, 'n_feature': 7, 'n_max_depth': 4, 'n_bootstrap': 2839}
{'n_tree': 8, 'n_feature': 6, 'n_max_depth': 11, 'n_bootstrap': 2183}
{'n_tree': 5, 'n_feature': 5, 'n_max_depth': 15, 'n_bootstrap': 1383}
{'n_tree': 15, 'n_feature': 4, 'n_max_depth': 10, 'n_bootstrap': 1902}
{'n_tree': 10, 'n_feature': 4, 'n_max_depth': 16, 'n_bootstrap': 1371}
